WATERSHED_ID,Date,Precipitation,Evapotranspiration,Water_Balance_delta_S
SWB_00004,01.11.2019,"17,80","6,80","11,00"
SWB_00004,01.12.2019,"17,40","8,80","8,60"
SWB_00004,01.01.2020,"31,80","7,80","24,00"
SWB_00004,01.02.2020,"32,90","14,90","18,00"
SWB_00004,01.03.2020,"34,00","18,90","15,10"
SWB_00004,01.04.2020,"51,80","27,40","24,40"
SWB_00004,01.05.2020,"46,00","38,60","7,40"
SWB_00004,01.06.2020,"9,30","24,00","-14,70"
SWB_00004,01.07.2020,"9,60","23,20","-13,60"
SWB_00004,01.08.2020,"4,40","18,20","-13,80"
SWB_00004,01.09.2020,"6,90","10,40","-3,50"
SWB_00004,01.10.2020,"5,30","6,60","-1,30"
SWB_00004,01.11.2020,"19,50","5,90","13,60"
SWB_00004,01.12.2020,"20,10","4,70","15,40"
SWB_00004,01.01.2021,"12,40","8,50","3,90"
SWB_00004,01.02.2021,"25,10","11,90","13,20"
SWB_00004,01.03.2021,"74,60","22,70","51,90"
SWB_00004,01.04.2021,"26,50","23,00","3,50"
SWB_00004,01.05.2021,"25,20","25,30","-0,10"
SWB_00004,01.06.2021,"9,00","22,90","-13,90"
SWB_00004,01.07.2021,"9,90","22,00","-12,10"
SWB_00004,01.08.2021,"5,20","16,50","-11,30"
SWB_00004,01.09.2021,"2,50","11,00","-8,50"
SWB_00004,01.10.2021,"10,30","7,80","2,50"
SWB_00004,01.11.2021,"16,20","6,70","9,50"
SWB_00004,01.12.2021,"16,90","8,10","8,80"
SWB_00004,01.01.2022,"40,10","8,40","31,70"
SWB_00004,01.02.2022,"24,30","11,70","12,60"
SWB_00004,01.03.2022,"56,10","21,50","34,60"
SWB_00004,01.04.2022,"24,80","27,40","-2,60"
SWB_00004,01.05.2022,"33,00","32,60","0,40"
SWB_00004,01.06.2022,"15,00","24,80","-9,80"
SWB_00004,01.07.2022,"3,80","23,10","-19,30"
SWB_00004,01.08.2022,"10,60","17,00","-6,40"
SWB_00004,01.09.2022,"3,80","11,50","-7,70"
SWB_00004,01.10.2022,"20,10","9,80","10,30"
SWB_00004,01.11.2022,"34,70","10,30","24,40"
SWB_00004,01.12.2022,"12,80","5,10","7,70"
SWB_00004,01.01.2023,"16,80","6,90","9,90"
SWB_00004,01.02.2023,"45,40","11,60","33,80"
SWB_00004,01.03.2023,"20,50","20,50","0,00"
SWB_00004,01.04.2023,"30,40","22,40","8,00"
SWB_00004,01.05.2023,"24,30","22,90","1,40"
SWB_00004,01.06.2023,"7,10","22,10","-15,00"
